几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
耳机不好用漫步者X2太硬了带上去一二十分钟耳朵都会疼不退了，我是喜马拉雅的老用户，希望平台不要用这种不舒适的二级,嗯呢感谢您的建议我们会不断优化我们的产品的呢,20230328 12:31:45
咨询退货问题,实测后存在质量问题，运费可以报销。辛苦您保留好运费支付记录。寄回售后，临近五一，售后处理可能延迟假期后，包装配件完整寄至：B2C，17602128987，上海市闵行区颛兴东路999弄阳明创业园致美楼206室喜马拉雅售后组。请使用普通快递。拒收到付件。拒收顺丰邮政。一张小纸条，务必写上订单编号：202304223000453004193190366，随商品一起寄回，方便及时对应处理售后。,20230426 23:43:48
蓝牙耳机左耳不响,反馈商家核实~,20230426 14:05:29
快递签收了,临近五一，售后处理可能延迟假期后，您可以节后，联系我们咨询进度哦,20230501 14:13:19
这个有退运险吗？,没有的,20230223 17:53:41
买的耳机一个耳机有问题短信过来说可以退款我这边怎么操作呢,已退款了哦，您这边不需要操作的呢,20230416 14:42:15
寄回单号：，补偿运费,入库后联系客服补偿,20230102 10:58:09
炊大皇炒锅（带盖）+硅胶锅铲+大白纯色合金筷5双装，之前核实停发无法寄出,年后会再次安排,20230120 11:36:43
问小火锅有哪些颜色怎么选呀？电商,您点击购买页面选择商品类型试试呢只支持选择的类型购买的哦,20230318 12:57:06
帮我看下这是天津发货吗,天津发出,20221222 10:44:36
现在购买能发货吗,如您当地没有疫情或者站点没有疫情限制是可以发的,20221220 10:39:12
可不可以换个白色的,可以退款重新购买下哦，表示那就算了黑色就黑色吧,20230421 17:03:47
退款,退款预计1-3个工作日原路返回到账，您注意查收。,20221219 15:19:52
喜马拉雅和keep联合的那个，有喜马拉雅的会员吗？,喜马拉雅×keep能量礼盒（内含小雅Nano、Keep瑜伽垫兑换卡、喜马拉雅年卡&Keep季卡兑换卡、明信片套装）,20230108 16:46:54
请问买会员年卡，送魔杖是吗,是的,20221111 17:57:42
请问大型商业银行资产负债管理这个是书还是音频啊,实体书,20221128 15:50:02
想退货退款,核实中用户手动离线,20221211 18:17:57
买的车载吸尘器如何退款？,反馈处理，用户离线是否解决：,20221103 20:43:40
如何退货呀？,帮您登记退款是否解决：,20221103 18:42:14
那个keep礼盒要年后才能发货了吧？,您下单这边催促仓库看能否发出哦是否解决：,20230118 17:59:02
退款,这边为您处理辛苦后续关注一下退款是否到账呢~,20221130 10:26:53
直接退货流程是什么？,您这边点击我的-全部服务-订单，查看下是否可以申请退换货,20221212 09:04:34
用户称购买的耳机今天收到蓝牙左右两只耳机声音时断时续，有点接触不良的样子，更换手机也尝试过，断开重新配对尝试依旧无效，辛苦核实处理,这边为您反馈一下呢~稍后私信或者短信告知您呢,20221208 13:48:04
收货电话更改下那个号码停用了，收不到取件码了换成,这边立即帮您反馈商家呢,20230423 22:45:03
郭论&谦道联名嘻游人间典藏礼盒（随机掉落郭德纲、于谦签名书）这是年卡还是半年卡,是半年的实体卡的哦~,20230421 10:25:36
配套的扩散风嘴和壁挂支架有卖的吗电商售前咨询所属供应商名称：售前咨询,可以在商城中搜索一下，看下是否有售卖,20230407 11:29:14
你好！想了解年费优惠活动购物不发货，怎么联系商家,疫情原因暂时无法寄出,20221212 14:33:44
这个快递怎么还没到呢,这边需要反馈核实下哦,20221102 15:01:19
未发货辛苦退款,反馈处理，用户离线,20221106 20:48:39
提示签收了，可我根本没收到“狂飙”,查看是原路返回供应商的、小喜需要反馈核实原因，私信您,20230310 09:29:22
上面显示疫情，物流异常,核实丢件，请问您是需要重新补发还是退款,20230103 16:22:15
商品退款,核实信息用户手动离线,20230109 14:27:56
用户催促发货,催促,20221228 14:32:05
一直不发货，先退款吧,跟进处理退款,20221228 15:10:12
我的订单什么时候可以发货？,这边为您催促一下商家呢1-3个工作日给您答复哦是否解决：,20221228 09:07:13
用完了，放回充电仓不会充电,反馈商家核实,20230407 18:37:31
付费2天了还是说我会员过期,这个会员是实体卡哦需要您收到后激活使用的呢是否解决：,20230124 14:24:40
退款,这个为您处理，辛苦麻烦您后续关注一下退款是否到账呢,20221220 10:39:32
我购买了一条三合一充电线，苹果口充不进电，麻烦问一下如何换货,已反馈厂家，咨询单编码35081302,20221127 16:50:34
围巾怎么不能选颜色,辛苦您已下单页面显示为准无法选择的话就是随机,20221214 21:10:55
联名能量礼盒里面包括什么，有喜马拉雅会员年卡吗,有会员卡的,20230108 09:42:40
买的迪士尼话筒发货了吗？,物流单号：78646626545441正常运输，用户离线,20230108 16:56:38
喜马拉雅自营商品，出现假货怎么办,请您放心呢~商城购买的商品都是有质量保证的呢,20221031 10:48:12
邮政快递积分兑换的实物商品之前疫情原因一直未取件现在驿站找不到包裹了办理退款,这边为您反馈核实后回复您的呢：,20230113 14:53:17
我充值会员送的赠品货都没法就完成订单了,这边帮您反馈催促商家哦,20221224 10:08:05
这个订单就没有发货然后显示就签收了,核实信息，离线,20230204 16:19:03
我记得买那个小雅音箱那个套餐的时候，说的是年卡啊,需要收到货后使用里面的喜马拉雅年卡兑换,20230202 21:41:10
申请退款的蓝牙音箱已寄出寄回单号：,登记,20230102 12:50:55
洗脸巾没有收到,查看显示已经送达了呢物流单号：YT6825523160182,20221202 08:57:54
用什么快递发货,查看是随机的,20221217 18:03:49
商城买的保温壶不保温,炊大皇保温壶2L2022-12-29请问是这笔订单吗,20230108 13:16:09
瑜伽垫兑换卡怎么兑换,收到之后按照背面的步骤兑换,20230123 20:48:22
购买玩联合会员怎么没续费,需要收到之后兑换领取会员的,20230123 20:47:49
如果收到不是正版能退吗？,商品是支持七天无理由的呢~,20221205 21:51:27
用户修改地址，武汉市青山区大华铂金郦府14栋2903,反馈,20221128 18:17:53
我的订单一直未到货,这边反馈商家核实一下哦是否解决：,20230103 14:03:22
退款吧，我看是发不出来了,已处理,20230103 21:31:40
商城买的图书，因为疫情，发货之后被退回了请帮我重新发货,申请补发,20221030 11:40:51
退回商家工单恢复可退款,反馈处理，用户离线,20221110 15:55:36
为什么我购买了不能听,是实体书,20221107 22:07:41
退款,这边为您处理，辛苦后续关注一下退款是否到账呢,20221230 10:23:41
的套餐没有到账,套餐会员是实体卡，需要您收到实物后按照卡片上面的步骤激活会员,20230206 12:45:41
用户催促物流还是未更新辛苦处理,催促，用户离线是否解决：,20230108 16:39:58
拍了一段视频，怎么才能转发给你？,辛苦您退出重新进入发送试试,20221030 15:57:57
我买的耳机主耳机打不开怎么回事应该是当耳机取出充电盒后，耳机的指示灯没亮，应该是没打开好了好了，谢谢，可可以了,用户问题是否解决：,20221030 17:08:41
我刚买的耳机，耳机取出充电盒够为什么没有自动打开指示灯？就是说耳机指示灯都没打开，我按说明说步骤来的，好吧我再看看,可以的呢辛苦您啦是否解决：,20221030 15:29:20
我的书今天发吗,【预售】狂飙（徐纪周导演，张译、张颂文、李一桐主演同名电视剧原著2023-01-3111:21202301314001828005450630001，是指该订单吗,20230203 12:00:01
用户催促处理，订单已再次帮其催促商家核实方案帮其申请退款，已反馈,反馈厂家,20230112 13:32:41
衣架5只装混色装，物流不更新找谁,已反馈商家核实催促,20221227 08:42:21
一直没收到需要退款,处理退款,20230105 23:36:42
我没有收到但是显示已签收,帮您反馈商家核实下哦,20221119 10:22:50
你好请问你们会员套餐耳机是什么耳机,您点击开通会进入商品详细页面查看用户离线,20230428 00:01:00
有一退款，有一发货，两笔。,已经为您登记退款和催促发货了哦是否解决：,20221229 08:20:08
请看前面聊天记录我们说的抵扣是喜点哈,实物的商品是不支持喜点购买的,20230204 12:59:30
为啥喜点有余额不抵扣,实物的商品是不支持喜点购买的,20230204 12:36:20
咨询物流问题,告知物流情况,20221222 19:12:57
物流未更新,这边为您催促一下呢，辛苦麻烦您后续关注一下物流是否更新呢,20221221 10:52:45
退款吧，快递不要了,这边反馈商家拦截一下物流为您退款哈是否解决：,20221222 19:48:55
这个客服说帮我解决到现在还没解决,您好，经核实关于您反馈的【耳机的】问题，现核实为：【商家回复续航时间受其他外部因素影响可能会有差异。如果使用确实只有13H，可寄回实测，已我方实测为准：包装配件完整寄至：B2C，17602128987，上海市闵行区颛兴东路999弄阳明创业园致美楼206室喜马拉雅售后组。请使用普通快递。拒收到付件。拒收顺丰邮政。一张小纸条，写上订单编号：202304124001200005755836180，随商品一起寄回，方便及时对应处理售后。,20230421 20:17:19
未发货退款,处理退款,20221213 20:44:00
168开通会员得兑换码是什么意思,会员是实体卡的，需要收到商品之后兑换领取的,20230101 09:53:17
这个套餐里音箱是智能的么,插电款的nano音箱，联网之后可以语音点播,20230101 10:02:55
我快递签收了但没收到,客户签收人:蜜罐旁边快递处已签收感谢使用圆通速递，期待再次为您服务如有疑问请联系：18521810518,20230313 13:30:26
美菱电煮锅内胆什么材料,这边反馈商家核实一下哦是否解决：,20221127 22:00:55
什么时候发货，需要确定具体日期,尽快反馈哈是否解决：,20221227 14:59:39
已经定了很多天了什么时候发货,帮您催促一下商家哦然后给您回复哦是否解决：,20221227 14:57:59
我想改地址还未发货现在申请的退款,为您反馈催促退款哦会1-3个工作日处理的哦,20221204 17:07:36
发货这么慢，不要了给我退了,已发送供应商群,20230113 19:33:26
商品退款,反馈商家客服,20230115 13:58:53
不用发货的吗,疫情原因暂时无法寄出,20221218 17:34:54
催发货,一般是48小时发货的哦，建议您耐心等待的哦,20230426 16:05:55
买的会员带日历的东西没给我,申请补发,20221209 15:59:39
在哪里查物流记录？,还未发货的呢,20221225 13:05:01
为什么小雅音箱无法正常开机,建议您更换下数据线先试试的建议您换个插座数据线的哦录制下小雅Nano不能开机使用的视频相关情况的呢,20230312 09:53:01
商城购买的物品一天多了还没发货,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解，催促,20221209 14:07:41
催促发货，,已反馈,20221226 16:37:07
上个星期刚听万古第一神的时候我看到你店铺有个138的蓝牙耳机。送会员年卡还有吗,用户未告知具体的耳机信息，建议可以喜马拉雅APP【我的-商城】查看,20221128 08:03:53
订单物流不更新,这边反馈商家联系快递催促下哦,20230106 08:26:00
买书这个订单我点错了退款,这边为您处理，辛苦后续关注退款是否到账,20221118 22:14:58
买了瓶粉水。用了都是过敏的,查询已有客服反馈的辛苦您耐心等待下的,20221229 18:42:46
买年卡我的包怎么还没到,辛苦您发送下订单哦,20230422 19:23:27
我的商品超过3天没有动静，货物也不知道发到哪里了,物流单号9889887967453,20221231 22:39:01
我兑换的洗衣液都漏出来怎么办电商所属供应商名称：凌海市展望生物科技有限公司,核实中用户离线,20230327 16:49:24
用户催促发货要去发往国外比较着急辛苦处理,帮其催促，用户离线,20221122 17:48:11
我申请退款了,小喜这边也会进行反馈退款，退款成功原路返回，1-3个工作日到账，注意查收哦,20230312 22:44:33
还不发货吗,催促厂家,20221122 17:50:36
您好～请问商城里面的商品都是正品的吗？,商城售卖的商品均正品保证，可放心购买哦,20230217 23:20:49
我买的春联订单，帮我问商家了吗？为什么物流信息一直没有更新？,最新信息是派件中的呢,20230110 13:44:08
什么时候发货呀？下单好几天了,核实订单信息未回复是否解决：,20221227 22:43:57
还没发货,这边反馈商家核实一下呢有回复给您短信告知哦是否解决：,20221228 11:02:26
买的充电器怎么收不到？,最新2023年3月14日下午5:13:24【长沙市】快件已被【菜鸟的长沙珠江丽城公园一号31栋104店】代收，如有问题请电联（15574803633），感谢使用中通快递，期待再次为您服务！,20230314 19:01:34
需要退款,处理退款,20230203 20:08:32
退款,发群询问,20230201 17:12:24
订单收到后发现少一把椅子,已反馈钉钉群,20230317 10:48:32
喜马拉雅和keep会员怎么看到领取入口啊,这个是实物商品，需要等待仓库发货的呢，收到商品之后扫描二维码兑换会员的哦,20230116 17:59:04
买了会员，为什么不能用,202301104001637005396096123，会员需要收到之后，兑换领取的,20230110 12:17:01
口袋里的坦克书籍是漫画还是文字？,口袋里的超级坦克（图书全4册）是图书,20221028 08:23:21
我买的商品未变更电商所属供应商名称：沈阳时尚乐童商贸有限公司,告知物流情况,20230329 09:10:24
我积分兑换的东西一直不更新物流也无法退款我现在要退款,这边帮您反馈商家尽快为您处理哈是否解决：,20221227 12:47:24
用户催促发货,催促,20221215 13:18:17
物流又不动了,催促,20221219 15:31:51
一个伞一个牙膏，麻烦帮我看看两个订单的物流情况,已告知物流信息,20230103 12:41:14
我积分兑换了两个订单大概需要多久才能发货,没有疫情影响的话会在48小时内发货的,20221231 14:08:07
我有个订单一直未收到货,核实信息,20230424 23:02:45
退款运费报销问题电商深圳市万物生供应链有限公司,已反馈供应商群,20230317 19:30:39
退款,会在1-3个工作日到账哦您注意查收哦,20221208 16:54:30
右耳声音变小了上海微意电子有限公司,已反馈商家,20230419 20:28:55
商家:上海珍犀食品有限公司，催促发货，辛苦处理下,催促,20221230 19:53:01
书几天能到？,请问是哪笔订单呢,20221226 18:23:54
发货一下,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解，催促,20221211 19:30:17
需要退款,处理退款,20221105 11:56:25
没有收到货，请帮我看一下货到哪里。谢谢:28【买1得2】VIP会员1年+外交官橙色便携折叠背包,物流单号：773210744292835物流轨迹2023-03-1411:36:04[昆明市]快件离开【云南昆明转运中心】已发往【云南云龙县公司】,20230314 12:56:33
更改收货地址,查看您的商品是第三方合作款产品，辛苦您这边申请退款重新购买哦,20230218 18:46:26
请问可以换一个快递吗，圆通快递到不了我们这边,不支持指定快递的,20230206 22:37:36
你好！送的书就是张教授讲的内容吗？,核实私信,20221107 18:45:13
这个订单很久了何时发货？,这边加急为您反馈的哈是否解决：,20221230 20:30:59
用户再次进线无法修改地址申请退款，辛苦拦截物流,拦截物流，如拦截失败辛苦拒收下，商品退回仓库之后联系客服为您处理退款,20221212 15:31:57
我的订单地址发错了要更改一下单位地址我现在在家呢杨阿梅吉林省长春市南关区临河二区12栋二单元,帮您尽快反馈哦是否解决：,20221212 14:58:19
用户反馈今天八点之前有空，辛苦处理下,反馈厂家,20230305 17:07:05
买的东西好几天不发货申请退款了帮我办理一下,好哒这边帮您登记退款是否解决：,20230303 09:15:46
我的快递少了一个，我买了5包，只收到了4包,202301094001088005393700886正在运输中,20230119 16:08:46
我买这个，是充一年的会员吗,会员下单后立即到账，实物48小时左右发货,20221125 23:56:01
这个订单不要那个日历行吗？,实物和会员是一个套餐的,20221125 23:57:48
我前段时间在上面买了袜子已经十多天了物流没动静退款也没动静啥情况，,这边反馈商家拦截一下物流哦是否解决：,20230110 13:37:03
用户催促物流更新，辛苦处理下,催促,20230106 09:04:19
显示签收了但是自己未收到,核实告知显示门卫自提点代收建议用户前往查看下或者联系配送小哥电话核实下,20230305 13:45:08
买了个耳机，什么时候发货,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,20230208 09:39:31
寄回单号,登记,20221215 11:56:20
耳机不充电,提供下故障视频,20221211 20:38:36
关于您咨询的耳机问题，已核实：辛苦您取出耳机再放进去，或者关闭充电仓再打开，反复操作下是可以充电的耳机都是检测好才发出去的不会充不上的，这样再试试，感谢您的支持，祝您生活愉快,有什么帮到您呢,20221212 08:57:36
我前段时间下单了一组喜马拉雅和Keep的会员组合里面有一个瑜伽垫的兑换券，但是我的Keep里面却没有券,您在KEEP钱包内输入兑换码之后是否有提示兑换成功呢,20230203 12:13:15
用户催促物流3天未更新，,催促，用户离线,20221223 12:37:23
用户催促发货辛苦处理谢谢,催促，用户离线,20221128 22:10:38
请问商城出售的产品都是正品吗？雅诗兰黛小综品眼霜比外面便宜很多,是的哦请放心购买,20221204 17:31:32
支持货到付款吗,不支持的,20230105 16:26:01
我买的订单什么时候发货呢？,这边帮您催促一下呢是否解决：,20221229 17:26:09
电商扣的30多，是运费吗所属供应商名称：四川文轩在线电子商务有限公司,查看您这边实付款就是320.92的哦辛苦您在我的-全部服务-订单页面点击进入查看实付款金额的呢,20230320 13:19:39
寄回单号：，用户已经寄回，辛苦核实是否可以退款电商所属供应商名称：四川文轩在线电子商务有限公司,催促,20230328 09:24:29
我昨晚买的商品，现在怎么还查不到订单,这个是京东购买，故小喜无法查询，建议联系下京东核实到账的账号呢,20221216 22:23:28
前几天反应的耳机坏了需要保修我找不到保修界面啊,您更换充电线尝试一下是否可以呢,20221101 13:45:34
才一个月就冲不了电了,这边为您反馈商家核实一下呢~商家回复后这边私信或者短信告知您可以吗~,20221027 16:19:38
找不到保修页面,喜马拉雅APP点击我的点击订单页面即可查看呢~,20221101 13:53:35
买的东西是残次品，没人管吗,收货地由于疫情暂时无法发出，您耐心等待,20221029 09:14:31
小黄鸭透明仓蓝牙耳机K25已退货未收到退款,这边帮您核实反馈，私信或者短信告知您哈,20230428 14:28:13
我之前买了一个电动牙刷，没发货、我申请退款、到现在没反应,用户说完后主动离线,20230217 17:51:55
我买了268，可是显示还不是会员于是我又申请退款了,这边为您处理辛苦后续关注一下退款是否到账,20221117 21:53:08
催促发货,帮其催促，用户离线,20221130 23:35:46
我的米老鼠蓝牙音箱坏了，上午使用中突然间很多噪音,建议提供视频核实,20221114 15:26:59
我1月份购买的东西到现在都没收到物流显示只是收件，没有发出,这边反馈商家给您核实下哦,20230217 20:42:06
退货退款,反馈,20230421 19:56:36
退货退款，寄回单号,显示还在运输中哦等待一下物流签收联系客服,20230425 19:17:51
这里面的会员怎么兑换,核实订单用户,20230102 13:34:05
我买了会员还没到账？,这个会员是需要收到实物之后，兑换码领取的,20230101 11:45:49
购买的质然良品蓝牙音箱中的“FM”收音功能搜不到台,辛苦您提供一下操作的视频核实一下,20230305 10:44:47
您帮我查一下我查不了，物品我也没有收到,物流单号：9889843520782,20221226 09:49:15
我买的keep联名年卡那个会员怎么兑换,收到之后扫码兑换,20230112 14:24:57
我订购的喜马拉雅×keep能量礼盒，但是未显示开通会员,会员是实体卡需要收到后激活哦是否解决：,20230106 19:26:11
我这里不好撤销退款导致会员没有了,这边可以为您申请补偿一年的会员，但是需要告知您补偿的会员是体验会员呢,20230117 15:02:59
可以退款吗,已处理,20221227 13:52:55
铁达信蓝牙耳机，白色缺货，什么时候有货电商未下单,截图下您的商品页面小喜查看下08:54会话超时关闭,20230326 08:55:25
白色缺货，什么时候能补货？电商,具体以您页面显示为准呢,20230326 19:50:14
退款怎么那么慢又没有发货,202212124001034005310656826核对下订单,20221215 14:31:20
退款,这边为您处理~辛苦后续关注一下退款是否到账,20221206 13:34:56
催促发货电商所属供应商名称：商家:深圳锦诚潮品科技有限公司,催促,20230326 13:34:17
邮寄的耳机你收到了吗维修了吗,已签收催促下处理,20221130 21:05:09
我的蓝牙耳机可以返厂是真的吗怎么确定真实性,是真实的辛苦您寄回是否解决：,20221120 18:41:17
我的蓝牙耳机右耳不亮，已寄出，,辛苦您等物流签收后再次联系客服帮您催促进度哦是否解决：,20221123 17:33:22
电商北京读书人文化艺术有限公司,富爸爸投资实战方法论套装是正版呢这个物流具体核实不到的呢平台一般发货是48小时内的,20230405 11:35:13
催催发货电商:北京读书人文化艺术有限公司,已催促,20230407 09:42:18
买错了退款,催促,20230104 09:07:58
这个还没发货，能改地址吗，山东省潍坊市青州市弥河镇汤王河村，刘昭飞，,已反馈商家更改地址,20221217 13:54:08
我有一座冒险屋是小说还是漫画？,核实截图，用户离线是否解决：,20221224 19:20:53
联名能量礼盒里面有哪些东西,喜马拉雅×keep能量礼盒(内含小雅Nano.Keep瑜伽垫兑换卡、喜马拉雅年卡&Keep季卡兑换卡,20221223 17:46:32
号码的订单退货的运单号已经显示签收催促退款,核实入库，催促处理,20230214 14:13:27
我的订单快递信息已经好几天没更新了,查看快递在转运中帮您反馈商家联系快递催促下哦,20230102 21:05:12
用户要刻：徐梓睿这三个字,反馈厂家,20221121 14:24:55
催催发货吧，已经有三天以上没有更新物流信息了,显示您这笔订单已存放至【邻里服务点】，记得早点来【金穗大道华中首座1号楼东胡同内百特利百货超市百特利百货超市辛苦可以去驿站查看下签收,20230106 17:56:00
这个耳机可以换不就是看错了下错单了,帮您登记退款1-3个工作日到账是否解决：,20230226 23:27:13
