二级分类名称,三级分类名称,四级分类名称,咨询单内容,提供方案,处理方式,咨询方式,一级分类名称
电商售后问题,商品问题,商品使用问题,已短信【喜马拉雅】尊敬的喜马拉雅用户您好，关于您反馈的蓝牙问题，耳机与手机第一次手动连接成功后，下一次（耳机和充电仓都有电，手机蓝牙未关闭的情况下）耳机拿出充电仓，会自动回连手机。后续如果换手机，需要重新手动完成首次链接。如果出现异常，请按说明书清除配对记录，重新连接手机。感谢您的支持，祝您生活愉快！,-,短信,在线,电商
电商售后问题,商品问题,商品使用问题,"用户ID：138780365订单编号：
202304234001365005803585346

店铺名称： 
上海微意电子有限公司  已经恢复过出厂设置了 还是一个样的没声音 购买的耳机一个没声音
如何处理",提供方案：发群 等待私信,直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,"用户ID：180815045用户诉求：时不时的就没反应，连接不上手机

所属供应商名称：$ xxxxxx公司 $","提供方案：这边帮您反馈商家核实下的核实后私信告知您结果

已解决",直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,"用户ID：209932711
所属供应商名称：$ xxxxxx公司 $ 那么好的耳机，掉了可惜 特喜欢这个，准备在买一个，好像下架了",提供方案：是的呢 目前下架 不能购买了哦,直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,用户ID：231832566耳机不好用怎么办,"提供方案：是哪款耳机的呢

 未回复离线",直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,"用户诉求：指示灯不亮 也无法连接
所属供应商名称：$海微意电子有限x公司 $",提供方案：已反馈商家,直接关单,在线,电商
电商售后问题,商品问题,商品使用问题,"用户诉求：用户ID：137359780
所属供应商名称：$ xxxxxx公司 $搜不到设备",提供方案：您好，您反馈的问题我们了解了，因为系统升级原因，暂时需要您手动打开附近的设备权限；打开步骤： 打开设置--->打开应用和服务--->打开应用管理--->找到喜马拉雅--->点击权限--->点击附近的设备--->先禁止再允许---->重启APP再次尝试,直接关单,在线,电商
电商售后问题,商品问题,商品换货问题,"用户ID：100909453 用户诉求：快递签收了
所属供应商名称：$上海微意电子有限公司$",提供方案：临近五一，售后处理可能延迟假期后，您可以节后，联系我们咨询进度哦,直接关单,在线,电商
电商售后问题,商品问题,商品换货问题,"用户ID：52847962
所属供应商名称：$ xxxxxx公司 $修理需要多少钱？ 小雅音响摔了，不能用了",提供方案：目前已过保了哦 可以付费换新 90元的,直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,【西安风险】d 用户ID：195574990 通话号码：15271670710 问题：耳机退款 方案：耳机退款失败，喜点赔付 提现支付宝,-,电话,热线,电商
电商售后问题,商品问题,商品退货/退款问题,【西安风险】d 用户ID：33354985 通话号码：13054448136 问题：发货退款 方案：433188370220129正确单号是这个 目前显示用户已签收 用户接通后表示没有买没有反馈过，故私信发送答复故此单关闭。,-,电话,在线,电商
电商售后问题,商品问题,商品退货/退款问题,外呼用户未能接通,-,直接关单,热线,电商
电商售后问题,商品问题,商品退货/退款问题,已私信+短信用户,-,私信,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户ID：135207286  用户诉求：202304224001286005799613262  需求退款
所属供应商名称：$安徽聚悦电子商务有限公司$",提供方案：小喜这边看到您的退款已经在审核中的 这边也会催促商家这边尽快核实确认,直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户ID：178988909
用户诉求：29块九是不是便宜20块九块九，就不把货退回去
所属供应商名称：$杭州印鸽科技有限公司 $",提供方案：核实中，会话手动关闭,私信,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户ID：42500852  用户诉求：买时候是59.9刚我看了下，可以会员减13元，要求退款
所属供应商名称：$武汉怡荨雨商贸有限公司 $",提供方案：已经收到货您要退款，这边需要提交商家核实下情况的呢,私信,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户ID：69929144用户诉求：东西已经发出
所属供应商名称：$ 上海微意电子有限公司 $",提供方案：辛苦您耐心等待我们这边签收1-2个工作日联系咨询售后情况的哦,直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,用户再次进线催促，称如果不退款就重新发货,"提供方案：核实后私信告知您结果

已解决",直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,用户已经再次进线客服已告知，故不短信。,-,直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户诉求： 用户反馈买错了 ，要退货，辛苦核实处理下
所属供应商名称：$上海微意电子有限公司 $
提供方案：反馈厂家，退货已同意，按照订单售后地址寄回处理",-,私信,在线,电商
电商售后问题,商品问题,商品退货/退款问题,"用户诉求：寄回了，怎么退款
所属供应商名称：$ 安徽聚悦电子商务有限公司$",提供方案：建议您后续留意物流更新的，物流更新显示这边签收之后退款的哦,直接关单,在线,电商
电商售后问题,商品问题,商品退货/退款问题,用户都没操作按键，插电不会自动亮的，要双击按键先打开，具体参考下方的操作视频，已短信用户再次进线发送视频,-,直接关单,在线,电商
电商售后问题,物流问题,物流丢件或漏发、少发、错发,用户再次进线催促要求尽快处理  辛苦处理,提供方案：已反馈钉钉群有结果短信或者私信,私信,在线,电商
